Designator,Mid X,Mid Y,Rotation,Layer
C0,15.5982,-27.18,180.0,top
C1,16.1824,-31.3964,180.0,top
C10,21.2598,-23.1694,90.0,top
C11,21.2624,-32.3108,0.0,bottom
C12,15.72,-17.9852,0.0,top
C13,13.3286,-22.3799,180.0,top
C14,10.2506,-48.4221,90.0,top
C15,12.9286,-40.6022,90.0,top
C16,23.8886,-37.4054,270.0,top
C17,18.3886,-37.4054,90.0,top
C18,19.5286,-21.9754,90.0,top
C19,9.271,-7.8004,0.0,top
C2,23.5286,-24.2954,90.0,bottom
C20,1.9411,-8.7254,180.0,top
C3,22.0726,-24.0838,90.0,bottom
C4,26.1112,-24.6954,90.0,top
C5,26.7486,-26.2254,0.0,top
C6,27.1286,-27.2754,180.0,bottom
C7,27.5844,-30.6598,0.0,top
C8,21.971,-35.6754,270.0,bottom
C9,24.9174,-24.6754,90.0,top
D1,12.7508,-10.5918,180.0,bottom
D2,5.2324,-12.829,90.0,top
D3,25.1968,-13.308951,270.0,top
D4,27.0256,-13.2862,270.0,top
D5,12.8778,-45.72,90.0,top
J1,19.3411,-2.1129,180.0,top
J2,22.194599,-61.1833,0.0,top
J3,1.8542,-57.2028,0.0,top
J4,37.4302,-25.8084,0.0,top
J5,33.7248,-34.6062,270.0,top
J6,40.9956,-47.8048,0.0,top
J7,1.8034,-33.7078,0.0,top
J8,3.5974,-2.3388,0.0,top
J9,37.2364,-10.6826,90.0,top
Q1,11.8286,-14.6754,180.0,bottom
R1,23.8286,-24.2354,270.0,top
R10,2.3186,-10.6954,180.0,top
R11,6.9286,-12.2754,90.0,top
R12,15.0622,-13.3096,225.0,top
R13,26.363201,-33.4538,0.0,bottom
R14,25.1965,-10.59615,90.0,top
R15,27.0256,-10.5684,90.0,top
R2,22.3286,-24.2354,270.0,top
R3,10.2362,-59.9206,90.0,bottom
R4,12.7254,-59.182,0.0,bottom
R5,22.3811,-35.3754,180.0,top
R6,21.5286,-8.7904,315.0,top
R7,18.1102,-8.817799,270.0,top
R8,17.818601,-22.3754,180.0,top
R9,11.1252,-25.7068,0.0,top
SW1,9.2964,-29.847,270.0,top
SW2,25.8064,-46.1934,270.0,top
U1,21.8786,-30.0254,90.0,top
U2,12.7586,-19.8174,90.0,top
U3,11.2268,-53.9516,0.0,top
U4,18.390643,-24.252697,0.0,top
U5,5.5411,-9.6254,0.0,top
X1,21.2886,-37.475401,90.0,top
